"","userAgeBracket","date","sessions","hits","bounceRate","users","avgSessionDuration"
"270","45-54","20160210",10,67,10,10,85.3
"271","18-24","20160209",30,560,13.3333333333333,25,339.6
"272","25-34","20160209",40,524,5,38,183.425
"273","35-44","20160209",40,507,7.5,32,254.95
"274","45-54","20160209",21,174,0,21,172.428571428571
"275","55-64","20160209",12,105,0,12,97.6666666666667
"276","18-24","20160208",32,399,6.25,26,157.625
"277","25-34","20160208",56,890,1.78571428571429,56,218.482142857143
"278","35-44","20160208",58,592,3.44827586206897,57,114.637931034483
"279","45-54","20160208",34,141,0,34,56.2058823529412
"280","55-64","20160208",21,94,19.047619047619,21,63.8571428571429
"281","18-24","20160207",33,383,3.03030303030303,33,151.181818181818
"282","25-34","20160207",60,612,1.66666666666667,56,133.016666666667
"283","35-44","20160207",49,417,4.08163265306122,49,85.7755102040816
"284","45-54","20160207",38,292,5.26315789473684,38,88.5789473684211
"285","55-64","20160207",18,88,0,18,41.3333333333333
"286","18-24","20160206",29,311,3.44827586206897,29,129.310344827586
"287","25-34","20160206",67,530,10.4477611940298,63,123.358208955224
"288","35-44","20160206",61,523,8.19672131147541,57,120.852459016393
"289","45-54","20160206",32,207,12.5,31,139.46875
"290","55-64","20160206",14,81,7.14285714285714,14,94.2142857142857
"291","18-24","20160205",34,442,8.82352941176471,31,139.441176470588
"292","25-34","20160205",58,766,5.17241379310345,54,184.586206896552
"293","35-44","20160205",54,390,5.55555555555556,54,64.037037037037
"294","45-54","20160205",60,491,11.6666666666667,54,108.366666666667
"295","55-64","20160205",20,112,5,20,50.8
"296","18-24","20160204",29,590,3.44827586206897,27,181.896551724138
"297","25-34","20160204",64,909,12.5,59,193.75
"298","35-44","20160204",79,501,11.3924050632911,72,125.139240506329
"299","45-54","20160204",55,353,10.9090909090909,55,128.272727272727
"300","55-64","20160204",35,216,20,32,52
"301","18-24","20160203",43,379,9.30232558139535,42,120.720930232558
"302","25-34","20160203",101,750,5.94059405940594,95,105.059405940594
"303","35-44","20160203",125,666,8.8,121,100.536
"304","45-54","20160203",85,401,7.05882352941176,84,62.9058823529412
"305","55-64","20160203",47,134,14.8936170212766,47,38.8510638297872
"306","65+","20160203",16,60,0,16,55.6875
"307","18-24","20160202",21,148,0,19,191.857142857143
"308","25-34","20160202",41,467,2.4390243902439,39,172.146341463415
"309","35-44","20160202",41,100,12.1951219512195,41,17.4878048780488
"310","45-54","20160202",41,146,0,39,62.1219512195122
"311","55-64","20160202",22,92,4.54545454545455,22,62.4090909090909
"312","18-24","20160201",38,213,7.89473684210526,33,49.6052631578947
"313","25-34","20160201",78,371,2.56410256410256,77,80.6923076923077
"314","35-44","20160201",72,299,5.55555555555556,69,44.7777777777778
"315","45-54","20160201",57,179,3.50877192982456,55,23.5263157894737
"316","55-64","20160201",53,130,1.88679245283019,53,13.8301886792453
"317","18-24","20160131",30,212,0,26,73.6
"318","25-34","20160131",61,282,3.27868852459016,60,76.0819672131148
"319","35-44","20160131",73,244,8.21917808219178,71,36.6849315068493
"320","45-54","20160131",77,379,3.8961038961039,74,52.012987012987
"321","55-64","20160131",51,137,1.96078431372549,50,24.9019607843137
"322","65+","20160131",11,29,9.09090909090909,11,46.8181818181818
"323","18-24","20160130",52,583,9.61538461538462,49,78.0384615384615
"324","25-34","20160130",73,541,4.10958904109589,72,80.5753424657534
"325","35-44","20160130",81,244,4.93827160493827,79,22.1234567901235
"326","45-54","20160130",53,314,1.88679245283019,51,65.3207547169811
"327","55-64","20160130",35,108,8.57142857142857,34,20.7428571428571
"328","65+","20160130",13,37,7.69230769230769,13,21.8461538461538
"329","18-24","20160129",61,431,9.83606557377049,58,44.9180327868852
"330","25-34","20160129",103,718,4.85436893203883,96,74.0873786407767
"331","35-44","20160129",114,1102,5.26315789473684,110,98.4736842105263
"332","45-54","20160129",68,502,4.41176470588235,66,58.4705882352941
"333","55-64","20160129",56,280,5.35714285714286,55,92.9821428571429
"334","65+","20160129",11,37,9.09090909090909,11,30.7272727272727
"335","18-24","20160128",34,163,14.7058823529412,31,52
"336","25-34","20160128",85,267,5.88235294117647,80,38.6
